id,rating,genre,year,director,star,company,runtime
338970,PG-13,Action,2018,Roar Uthaug,Alicia Vikander,Warner Bros.,119.0
446807,R,Action,2018,Fede Alvarez,Claire Foy,Columbia Pictures,115.0
428078,PG-13,Action,2018,Christian Rivers,Hera Hilmar,Media Rights Capital (MRC),128.0
336843,PG-13,Action,2018,Wes Ball,Dylan O'Brien,Gotham Group,143.0
369972,PG-13,Biography,2018,Damien Chazelle,Ryan Gosling,Universal Pictures,141.0
480530,PG-13,Drama,2018,Steven Caple Jr.,Michael B. Jordan,Metro-Goldwyn-Mayer (MGM),130.0
99749,R,Drama,1987,William Friedkin,Michael Biehn,De Laurentiis Entertainment Group (DEG),97.0
401545,R,Crime,2018,Asghar Farhadi,Penélope Cruz,Memento Films Production,133.0
437586,R,Comedy,2018,Jonah Hill,Sunny Suljic,A24,85.0
300681,PG-13,Drama,2018,Jeffrey Nachmanoff,Keanu Reeves,Company Films,107.0
401469,R,Crime,2018,Steve McQueen,Viola Davis,New Regency Productions,129.0
467240,Not Rated,Drama,2018,Chang-dong Lee,Yoo Ah-in,Pine House Film,148.0
489999,PG-13,Drama,2018,Aneesh Chaganty,John Cho,Screen Gems,102.0
446696,R,Drama,2018,Dan Fogelman,Oscar Isaac,FilmNation Entertainment,117.0
437557,R,Comedy,2018,Kay Cannon,Leslie Mann,Point Grey Pictures,102.0
371608,R,Horror,2018,Johannes Roberts,Christina Hendricks,Aviron Pictures,85.0
458594,R,Action,2018,Pierre Morel,Jennifer Garner,STX Films,101.0
376865,R,Adventure,2018,Claire Denis,Robert Pattinson,Alcatraz Films,113.0
465136,PG-13,Drama,2018,Michael Sucsy,Angourie Rice,Likely Story,97.0
493551,PG-13,Biography,2018,Chris Weitz,Oscar Isaac,Metro-Goldwyn-Mayer (MGM),122.0
505192,R,Crime,2018,Hirokazu Koreeda,Lily Franky,AOI Promotion,121.0
489930,R,Comedy,2018,Carlos López Estrada,Daveed Diggs,Snoot Entertainment,95.0
440161,R,Crime,2018,Jacques Audiard,John C. Reilly,Why Not Productions,122.0
400090,R,Adventure,2018,Jennifer Kent,Aisling Franciosi,Causeway Films,136.0
471506,R,Drama,2018,Neil Jordan,Isabelle Huppert,Sidney Kimmel Entertainment,98.0
460668,PG-13,Comedy,2018,Abby Kohn,Amy Schumer,Huayi Brothers Pictures,110.0
406761,R,Action,2018,Drew Pearce,Jodie Foster,The Ink Factory,94.0
439015,PG-13,Horror,2018,Sylvain White,Joey King,Screen Gems,93.0
481880,R,Biography,2018,Edward Zwick,Jack O'Connell,Flashlight Films,127.0
339976,R,Drama,2018,Jake Scott,Sienna Miller,Romulus Entertainment,111.0
502682,PG-13,Comedy,2018,Bill Holderman,Diane Keaton,Apartment Story,104.0
457943,R,Action,2018,Crispian Mills,Jassa Ahluwalia,Catalyst Global Media,104.0
424781,R,Comedy,2018,Boots Riley,LaKeith Stanfield,Cinereach,112.0
268896,PG-13,Action,2018,Steven S. DeKnight,John Boyega,Legendary Entertainment,111.0
426563,PG-13,Comedy,2018,Etan Cohen,Will Ferrell,Columbia Pictures,90.0
445651,PG-13,Action,2018,Jennifer Yuh Nelson,Amandla Stenberg,21 Laps Entertainment,104.0
517104,R,Drama,2018,Pawel Pawlikowski,Joanna Kulig,Opus Film,89.0
460019,PG-13,Horror,2018,Jeff Wadlow,Lucy Hale,Blumhouse Productions,100.0
399360,PG-13,Action,2018,Albert Hughes,Kodi Smit-McPhee,Studio 8,96.0
491472,PG-13,Biography,2018,Julian Schnabel,Willem Dafoe,CBS Films,111.0
10780,PG,Comedy,1987,Garry Marshall,Goldie Hawn,Metro-Goldwyn-Mayer (MGM),112.0
470229,Not Rated,Drama,2018,François Simard,Graham Verchere,Brightlight Pictures,105.0
453755,PG-13,Adventure,2018,Joe Penna,Mads Mikkelsen,Armory Films,98.0
407451,PG,Adventure,2018,Ava DuVernay,Storm Reid,Legend3D,109.0
220882,R,Crime,2018,Mathew Cullen,Amber Heard,Muse Productions,118.0
534780,Not Rated,Crime,2018,Sriram Raghavan,Ayushmann Khurrana,Matchbox Pictures,139.0
416144,R,Action,2018,Anthony Maras,Dev Patel,India Take One Productions,123.0
399796,PG-13,Comedy,2018,Ben Falcone,Melissa McCarthy,New Line Cinema,105.0
489931,R,Biography,2018,Bart Layton,Spencer Reinhard,Film4,116.0
463821,PG,Comedy,2018,Eli Roth,Jack Black,DreamWorks,105.0
535845,PG-13,Biography,2018,Tom Shadyac,Aldis Hodge,ShivHans Pictures,99.0
339103,R,Biography,2018,Kevin Connolly,John Travolta,Emmett/Furla/Oasis Films (EFO Films),112.0
420814,PG,Adventure,2018,Marc Forster,Ewan McGregor,2DUX²,104.0
471507,R,Action,2018,Karyn Kusama,Nicole Kidman,Annapurna Pictures,121.0
411144,Not Rated,Drama,2018,Stacie Passon,Taissa Farmiga,Mighty Engine,90.0
426613,Not Rated,Drama,2018,Desiree Akhavan,Chloë Grace Moretz,Beachside Films,91.0
406563,PG-13,Horror,2018,Adam Robitel,Lin Shaye,Blumhouse Productions,103.0
407439,R,Biography,2018,Garth Davis,Rooney Mara,See-Saw Films,120.0
443009,R,Biography,2018,Gus Van Sant,Joaquin Phoenix,Amazon Studios,114.0
401847,R,Biography,2018,Marielle Heller,Melissa McCarthy,Archer Gray,106.0
467660,R,Drama,2018,Steven Soderbergh,Claire Foy,Fingerprint Releasing,98.0
472451,R,Biography,2018,Joel Edgerton,Lucas Hedges,Focus Features,115.0
463272,PG,Action,2018,David Kerr,Rowan Atkinson,Universal Pictures,89.0
447200,PG-13,Action,2018,Rawson Marshall Thurber,Dwayne Johnson,Legendary Entertainment,102.0
417812,PG-13,Drama,2018,Paul Dano,Ed Oxenbould,June Pictures,105.0
429203,PG-13,Biography,2018,David Lowery,Robert Redford,Fox Searchlight Pictures,93.0
417261,PG,Comedy,2018,Bethany Ashton Wolf,Alex Roe,LD Entertainment,108.0
339380,PG-13,Biography,2018,Mimi Leder,Felicity Jones,Alibaba Pictures,120.0
504253,Not Rated,Animation,2018,Shin'ichirô Ushijima,Mahiro Takasugi,ABC Animation,109.0
297725,Not Rated,Adventure,2018,Terry Gilliam,José Luis Ferrer,Alacran Pictures,132.0
467952,R,Biography,2018,Ben Lewin,Paul Rudd,PalmStar Media,94.0
351044,PG-13,Biography,2018,Robert Zemeckis,Steve Carell,Universal Pictures,116.0
467632,R,Crime,2018,Dean Devlin,David Tennant,Electric Entertainment,110.0
897661,R,Crime,2018,Ali Abbasi,Eva Melander,Meta Film Stockholm,110.0
340022,R,Action,2018,Nash Edgerton,Joel Edgerton,Amazon Studios,111.0
446101,R,Action,2018,Sam Levinson,Odessa Young,BRON Studios,108.0
505058,R,Horror,2018,Stephen Susco,Colin Woodell,Bazelevs Production,92.0
426543,PG,Adventure,2018,Lasse Hallström,Mackenzie Foy,Walt Disney Pictures,99.0
523773,R,Comedy,2018,Donald Petrie,Emma Roberts,Firsttake Entertainment,102.0
412988,R,Action,2018,Brian Henson,Melissa McCarthy,STX Entertainment,91.0
400579,R,Comedy,2018,Jason Reitman,Charlize Theron,BRON Studios,95.0
54118,R,Horror,1981,Ken Hughes,Leonard Mann,Lorimar Productions,88.0
426249,R,Biography,2018,Jonas Åkerlund,Rory Culkin,Proton Cinema,118.0
